"","target_taxon_name","...1","source_taxon_name","latitude","longitude","ISO_A2","NAME_ES","searched_taxon_name","country_name","Estatus.Taxonómico","Nombre.Válido","Autoridad","Rango.Taxonómico","Familia","Forma.biológica"
"538","Senecio spartioides",545,"Agapostemon angelicus",37.2941,-111.1414,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"539","Senecio spartioides",430,"Agapostemon angelicus",37.2866,-111.121,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"540","Senecio spartioides",447,"Agapostemon angelicus",37.2634,-112.2565,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"541","Senecio spartioides",450,"Agapostemon angelicus",37.3252,-111.155,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"542","Senecio spartioides",495,"Agapostemon angelicus",37.2957,-112.2624,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"543","Senecio spartioides",534,"Agapostemon angelicus",37.3066,-111.1437,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"544","Shepherdia rotundifolia",273,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","Shepherdia rotundifolia",522,"Agapostemon angelicus",37.5158,-111.4069,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"546","Sisymbrium altissimum",269,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547","Sisymbrium altissimum",578,"Agapostemon angelicus",37.3034,-111.1365,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"548","Sisymbrium irio",107,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","Solanum elaeagnifolium",109,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550","Solidago",148,"Agapostemon angelicus",31.93342,-109.26339,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"551","Solidago serotina",641,"Agapostemon (Agapostemon) angelicus",37.83456,-99.91312,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"552","Sphaeralcea",3,"Agapostemon angelicus",35.1255,-106.3326,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"553","Sphaeralcea",137,"Agapostemon angelicus",32.57611,-111.325,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"554","Sphaeralcea",25,"Agapostemon angelicus",31.30025,-109.2625,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
